rank,parcel_id,county,amount,acreage,price_per_acre,water_score,description,water_features,investment_score
33,581001010001001130,Saint Clair,186.45,0.517,360.6382978723404,2.0,SUB MEADOW BROOK 18TH SECTOR PHASE I  L90-A B000 M,,70.09
34,0121000320010180000000,Autauga,87.65,0.261,335.823754789272,1.0,POB COM 158 FT SE OF INTER OF BANKHEAD HWY & SYCA,,69.79
35,3424060020040010010064,Hale,37.17,0.115,323.2173913043478,3.0,LOT 144 ADD #7 LAKESIDE EST CAROLINA DR 50 X 100,,69.73
36,0123000330090150000000,Autauga,86.05,0.25,344.2,3.0,LOT 21 BLK 5 SPRING HGHLDS,,68.32
37,6122041730010010000000,Talladega,187.9,0.506,371.34387351778656,2.0,110.2 X 200.2 IRR C MEADOW BROOK EST CHILDERSBURG,,67.86
38,0543020400100620000000,Baldwin,96.04,0.25734618916437096,373.1937912578056,7.0,59' X 190' LAKE FOREST SUB UNIT 19 LOT 63 PLAT BO,lake,64.83
39,0543020400100620000000,Baldwin,96.04,0.25734618916437096,373.1937912578056,7.0,59' X 190' LAKE FOREST SUB UNIT 19 LOT 63 PLAT BO,lake,64.83
40,0123000330080040000000,Autauga,90.72,0.25,362.88,3.0,LOTS 7 & 8 BLK 4 SPRING HGHLDS SECT 03 TWSP 17S R,,64.8
41,0123001430130020000000,Autauga,94.62,0.25,378.48,7.0,LOTS 14 & 15 BLK 15 EAST LAKE HGLDS,lake,63.78
42,6122041730010020000000,Talladega,185.7,0.459,404.5751633986928,2.0,100' X 200' D MEADOWBROOK EST. CHILDERSBURG LOT 2,,61.45
43,5813042040050110010000,Saint Clair,187.91,0.44,427.0681818181818,7.0,SUB OLD CAHABA IV 2ND ADD PH 4 LAKE ACCESS L1511A,lake,59.83
44,0543020400010460000000,Baldwin,120.34,0.29017447199265384,414.71601265822784,7.0,80' X 158' LAKE FOREST SUB UNIT 25 LOT 48 PB8 PG8,lake,58.93
45,0543020400010460000000,Baldwin,120.34,0.29017447199265384,414.71601265822784,7.0,80' X 158' LAKE FOREST SUB UNIT 25 LOT 48 PB8 PG8,lake,58.93
46,611801022004009000,Talladega,140.07,0.34,411.9705882352941,2.0,LOT 80' X 185' (S) BEG. AT SW COR OF LOT 9 & RUN E,,58.27
47,612704201005013000,Talladega,153.59,,,3.0,LOT 24 SPRING VALLEY PARK SEC.,,57.88
48,612704201004018000,Talladega,155.4,,,3.0,LOT 34 SPRING VALLEY PARK SEC.,,57.88
49,612704201005014000,Talladega,153.59,,,3.0,LOT 23 SPRING VALLEY PARK SEC.,,57.88
50,612704201005020000,Talladega,153.59,,,3.0,LOT 17 SPRING VALLEY PARK SEC.,,57.88
51,612704201003013000,Talladega,153.59,,,3.0,LOT 101 SPRING VALLEY PARK SEC,,57.88
52,612704201004017000,Talladega,155.4,,,3.0,LOT 33 SPRING VALLEY PARK SEC.,,57.88
53,612704201005021000,Talladega,155.4,,,3.0,LOT 16 SPRING VALLEY SEC III,,57.88
54,612704201003019000,Talladega,153.59,,,3.0,LOT 95 SPRING VALLEY PARK SEC,,57.88
55,612704201003023000,Talladega,155.4,,,3.0,LOT 91 SPRING VALLEY PARK SEC.,,57.88
56,612704201003012000,Talladega,153.59,,,3.0,LOT 102 SPRING VALLEY PARK SEC,,57.88
57,612704201003015000,Talladega,155.4,,,3.0,LOT 99 SPRING VALLEY PARK SEC.,,57.88
58,612704201005023000,Talladega,153.59,,,3.0,LOT 14 SPRING VALLEY PARK SEC.,,57.88
59,612704201004016000,Talladega,155.4,,,3.0,LOT 32 SPRING VALLEY PARK SEC.,,57.88
60,612704201005015000,Talladega,155.4,,,3.0,LOT 22 SPRING VALLEY SEC. III,,57.88
61,612704201005016000,Talladega,155.4,,,3.0,LOT 21 SPRING VALLEY SEC III,,57.88
62,612704201003014000,Talladega,153.59,,,3.0,LOT 100 SPRING VALLEY PARK SEC.,,57.88
63,0123000330090040000000,Autauga,101.62,0.25,406.48,3.0,LOTS 8 & 9 BLK 5 SPRING HGHLDS,,57.85
64,0123001540040100000000,Autauga,110.25,0.25,441.0,7.0,LOT 3 BLK 56 EAST LAKE,lake,54.74
65,0123001120070200000000,Autauga,119.88,0.25,479.52,7.0,LOT 4 BLK 17-B EAST LAKE LAND COS FIRST ADD TO EA,lake,50.34
66,0123001430180040000000,Autauga,125.53,0.25,502.12,7.0,LOT 16 BLK 4 EAST LAKE HGLDS,lake,48.08
67,5705051522040140000,Russell,122.21,0.25,488.84,2.0,S15 T17N R30E LOT 2 BRANCH CIRCLE BLK IN CRAWFORD,,47.79
68,5811072500030090000000,Saint Clair,159.37,0.315,505.93650793650795,3.0,RIVERCHASE W DIVIDING RIDGE LOT 39 BLK 1ST ADD BK,,47.41
69,0123001010220090000100,Autauga,130.22,0.25,520.88,7.0,LOT 26 BLK 13-F 1ST ADD TO EAST LAKE 6/31,lake,46.35
70,0113003340110430000000,Autauga,127.25,0.25,509.0,3.0,LOTS 9+10 BLK 11 NORTH LAKEPARK ADD,,46.2
71,0123000330140020000000,Autauga,127.76,0.25,511.04,3.0,LOT 11 BLK 8 SPRING HGHLDS SECT 03 TWSP 173 RANGE,,46.02
72,5822073520080070000000,Saint Clair,144.37,0.255,566.156862745098,1.0,SUB WATERFORD TOWNHOMES SECTOR 1 PH 1 L834B MB31,,41.32
73,3424062440120070000,Hale,74.93,0.136,550.9558823529412,3.0,LOT 169 LAKESIDE EST ADD 35 PB 1/85 S24-T7N-R17W,,41.18
74,0129003340000320000000,Autauga,271.27,0.445,609.5955056179774,1.0,COMMON AREA WATERFORD FALLS SUBDIVISION SECTOR TH,,40.62
75,0232054000021210020000,Mobile,160.55,0.25,642.2,1.0,LOT 26 BLK 11 RESUB OF BAY DIV OF SHORE ACS DBK 1,,36.37
76,0543020400050160010000,Baldwin,152.48,0.21652892561983472,704.2015267175572,7.0,72' X 131' IRR LOT 34 UNIT 18 LAKE FOREST SUB PB7,lake,33.93
77,0543020400050160010000,Baldwin,152.48,0.21652892561983472,704.2015267175572,7.0,72' X 131' IRR LOT 34 UNIT 18 LAKE FOREST SUB PB7,lake,33.93
78,0543020400050160010000,Baldwin,152.48,0.21652892561983472,704.2015267175572,7.0,72' X 131' IRR LOT 34 UNIT 18 LAKE FOREST SUB PB7,lake,33.93
79,3424062410080290000000,Hale,24.84,0.038,653.6842105263158,3.0,LAKESIDE ESTATES ADD 3 LOT 558 PB 1/78 S24 T7N R17,,33.63
80,0535093100000010060000,Baldwin,122.3,0.17676767676767677,691.8685714285714,2.0,70X110 IRR NE COR SEC 31 RUN W740'S S200' TO POB,,33.0
81,0535093100000010060000,Baldwin,122.3,0.17676767676767677,691.8685714285714,2.0,70X110 IRR NE COR SEC 31 RUN W740'S S200' TO POB,,33.0
82,0535093100000010060000,Baldwin,122.3,0.17676767676767677,691.8685714285714,2.0,70X110 IRR NE COR SEC 31 RUN W740'S S200' TO POB,,33.0
83,0113003340120160000000,Autauga,187.06,0.25,748.24,7.0,LOTS 12+13+14 BLK 10 NO LAKE  PARK ADD,lake,32.26
84,0115002310020250000000,Autauga,127.18,0.177,718.5310734463278,4.0,POB INTER W/L CARDIFF RD & S/LOF FIVE MILE CREEK,creek,32.2
85,581304201011006001,Saint Clair,188.41,0.244,772.172131147541,7.0,SUB OLD CAHABA IV 1ST & 2ND ADD PH 1 LAKE ACCESS L,lake,31.21
86,0123001420270020000000,Autauga,193.75,0.25,775.0,7.0,LOT 5 BLK 90 SOUTH HIGHLANDS TO EAST LAKE,lake,31.15
87,0116002000000620000100,Autauga,198.65,0.25,794.6,4.0,LOTS 6 THRU 8 BLK 14 TOWN OF FLAT CREEK 7/90,creek,29.79
88,0129001120030100000000,Autauga,209.45,0.25,837.8,3.0,LOTS 10 & 11 BLK 2 GREEN SPRINGS 1ST ADD,,28.07
89,0543020400100200000000,Baldwin,162.4,0.18732782369146006,866.9294117647058,7.0,68' X 120' LAKE FOREST SUB UNIT 19 LOT 20 PB7 P15,lake,27.31
90,0543020400100200000000,Baldwin,162.4,0.18732782369146006,866.9294117647058,7.0,68' X 120' LAKE FOREST SUB UNIT 19 LOT 20 PB7 P15,lake,27.31
91,0543020400100200000000,Baldwin,162.4,0.18732782369146006,866.9294117647058,7.0,68' X 120' LAKE FOREST SUB UNIT 19 LOT 20 PB7 P15,lake,27.31
92,3425041920020010000000,Hale,34.75,0.043,808.139534883721,3.0,LOT 266 7TH ADD LAKESIDE ESTATE 1/95 S19 T7N R16W,,27.25
93,0244073510000690100000,Mobile,220.15,0.25,880.6,4.0,LOT 12 BLK 9 ALBA 1ST ADD BAYOU LA BATRE DBK 156/,bayou,26.88
94,3425041920040010000000,Hale,27.11,0.033,821.5151515151515,3.0,LOT 205 7TH ADD LAKESUDE ESTATES 1/95 S19 T7N R16W,,26.71
95,0543020400010810000000,Baldwin,324.46,0.3472222222222222,934.4448,7.0,121' X 125' IRR LOT 134 UNIT 25 LAKE FOREST SUB P,lake,26.61
96,0543020400010810000000,Baldwin,324.46,0.3472222222222222,934.4448,7.0,121' X 125' IRR LOT 134 UNIT 25 LAKE FOREST SUB P,lake,26.61
97,0543020400010810000000,Baldwin,324.46,0.3472222222222222,934.4448,7.0,121' X 125' IRR LOT 134 UNIT 25 LAKE FOREST SUB P,lake,26.61
98,0123001040050070000000,Autauga,223.15,0.25,892.6,3.0,LOT 16 BLK 11-G EAST LAKE1ST ADD,,26.35
99,0543030500060250000000,Baldwin,289.99,0.30991735537190085,935.7010666666666,7.0,60' X 225' IRR LAKE FOREST SUB UNIT 15 LOT 84 PB7,lake,26.28
100,0543030500060250000000,Baldwin,289.99,0.30991735537190085,935.7010666666666,7.0,60' X 225' IRR LAKE FOREST SUB UNIT 15 LOT 84 PB7,lake,26.28
