parcel_id,county,acreage,price_per_acre,investment_score,water_features,amount,description
0543020400050160010000,Baldwin,0.21652892561983472,704.2015267175572,90.0,1,152.48,72' X 131' IRR LOT 34 UNIT 18 LAKE FOREST SUB PB7
0543030500060250000000,Baldwin,0.30991735537190085,935.7010666666666,90.0,1,289.99,60' X 225' IRR LAKE FOREST SUB UNIT 15 LOT 84 PB7
0543020400100200000000,Baldwin,0.18732782369146006,866.9294117647058,90.0,1,162.4,68' X 120' LAKE FOREST SUB UNIT 19 LOT 20 PB7 P15
0543030500040040000000,Baldwin,0.1101010101010101,1018.8825688073395,90.0,1,112.18,44' X 109' IRR LAKE FOREST SUBD UNIT 18 LOT 40 PLA
4608072540020410000000,Madison,1.1111111111111112,91.818,90.0,0,102.02,200X242X63X130 LOT B PINERIDGE S/D S 25 T 17 R 23
460803080000006000,Madison,1.449862258953168,115.63167395021851,90.0,0,167.65,277 X 228 X 347 A LOT IN SW1/4 OF SE1/4 BEG AT NW
460807354004020,Madison,1.046831955922865,794.7598421052633,90.0,0,831.98,152 X 300 LOT IN SE1/4 SE1/4 COM W/S OLD MONTG RD
0223073510000170000000,Mobile,3.546,39.162436548223354,90.0,0,138.87,#TAX DEED NO: 51492 #DTD 03/31/06 ISSUED TO #RON
0222104400080400010000,Mobile,4.4,66.40227272727273,90.0,0,292.17,LOT #185 AS SHOWN ON PLAT OF AL VILLAGE PRICHARD
0222084400181530000000,Mobile,4.683,63.52978859705317,90.0,0,297.51,#TAX DEED NO: 50998 #DTD 04/29/05 ISSUED TO #MARI
0222104400090720000000,Mobile,6.1,24.862295081967215,90.0,0,151.66,#TAX DEED NO #2920 91/07/10 #SOLD FOR 2003 TAX TO
0229024400161230000000,Mobile,1.429,108.1665500349895,90.0,0,154.57,BEG AT PT 943 FT(S) SWLY OF SE COR OLD HOLT RD &
0222104400160310000000,Mobile,8.311,13.97184454337625,90.0,0,116.12,#TAX DEED NO: 51719 #DTD 07/21/06 #ANTHONY C JONE
